NTH 313,CUE20005.1,"[4, 16]",010IYR2J
NTH 220,CUE30001.2,"[17, 18, 19, 20]",010IYR2J
NTH 313,GEK10066.1,"[14, 50]",010IYR2J
ANH Auditorium,GEK10041.1,"[3, 39]",010IYR2J
NMH 403,GEK20059.1,"[5, 41]",010IYR2J
NTH 313,CUE20005.1,"[4, 16]",010IYR2J
NTH 313,CUE20052.1,"[1, 37]",010IYR2J
NMH 207,CSW20012.1,"[14, 50]",07xpnJMZ
HDH 318,CSW20021.1,"[13, 49]",07xpnJMZ
OH 405,CSW20054.1,"[15, 51]",07xpnJMZ
GLC 305,GCS20001.4,"[1, 37]",07xpnJMZ
NMH 410A,GEK10022.1,"[5, 41]",07xpnJMZ
OH 401,CSW20065.1,"[2, 38]",07xpnJMZ
NMH 405,CCC20064.1,"[16, 52]",0A05wQ48
HDH 425B,GEK10090.2,"[17, 53]",0A05wQ48
HDH 425B,GEK10093.1,"[15, 51]",0A05wQ48
NMH 104A,CCC20050.1,"[5, 41]",0A05wQ48
NMH 105,GEK10062.2,"[3, 39]",0A05wQ48
OH 405,MEC10001.1,"[6, 42]",0A05wQ48
NTH 313,GEK10066.1,"[14, 50]",0AtizajS
NMH 403,GEK20058.5,"[15, 51]",0AtizajS
GLC 304,GCS10052.11,"[5, 41]",0AtizajS
HDH 424,GCS10002.2,"[6, 42]",0AtizajS
NMH 403,GEK10059.3,"[3, 39]",0AtizajS
OH 402,GEK30030.1,"[15, 51]",0AUCUxw2
NMH 107,MEC30072.1,"[14, 50]",0AUCUxw2
NMH 103A,MEC30074.1,"[13, 49]",0AUCUxw2
NMH 109,MEC20059.1,"[3, 39]",0AUCUxw2
NMH 410A,GCS10004.1,"[4, 40]",0AUCUxw2
OH 401,ECE30011.1,"[6, 42]",0AUCUxw2
NMH 109,GCS10033.3,"[17, 53]",0bjs6sbd
NTH 313,GEK10066.1,"[14, 50]",0bjs6sbd
HDH 318,GEK10095.2,"[15, 51]",0bjs6sbd
OH 403,GEK20058.1,"[13, 49]",0bjs6sbd
NTH 213,GCS10014.1,"[2, 3]",0bjs6sbd
NTH 412,GEK10091.1,"[6, 7]",0bjs6sbd
OH 420,GEK20011.3,"[4, 40]",0bjs6sbd
GLC 303,GCS10062.6,"[18, 54]",0chbcZga
HDH 318,GEK10095.2,"[15, 51]",0chbcZga
OH 403,GEK20058.2,"[14, 50]",0chbcZga
NMH 105,MEC10002.2,"[16, 52]",0chbcZga
ANH Auditorium,GEK10041.1,"[3, 39]",0chbcZga
HDH 303B,GCS10037.1,"[5, 41]",0chbcZga
HDH 323C,CCE22001.1,"[18, 54]",0crFvetU
NTH 213,CCE32001.1,"[16, 17]",0crFvetU
NMH 309,ISE30093.1,"[50, 51]",0crFvetU
HDH 320A,ISE20006.1,"[6, 42]",0crFvetU
