과목코드,분반,수강정원,강의실명,수강인원
LAW10004,1,70,ANH 302,74
LAW20003,1,80,ANH 302,87
LAW20008,1,80,ANH 302,83
LAW30074,1,40,ANH 302,25
LAW40004,1,60,ANH 302,23
UIL30011,1,60,ANH 302,70
UIL40015,1,40,ANH 302,8
UIL40064,1,40,ANH 302,17
HMM20017,1,50,ANH 302,100
HMM20031,1,60,ANH 302,63
HMM30012,2,60,ANH 302,45
HMM30032,1,60,ANH 302,45
GEA40004,1,30,ANH 304,8
LAW30009,1,40,ANH 304,9
LAW30014,1,40,ANH 304,17
LAW30077,1,40,ANH 304,27
LAW40025,1,40,ANH 304,15
LAW50005,1,20,ANH 304,13
UIL20013,1,15,ANH 304,13
UIL30015,1,25,ANH 304,23
UIL30016,1,40,ANH 304,20
UIL30018,1,30,ANH 304,13
UIL40016,1,40,ANH 304,11
LAW30034,1,40,ANH 305,38
LAW30071,1,40,ANH 305,25
LAW30072,1,40,ANH 305,34
LAW50004,1,10,ANH 305,5
UIL30014,1,50,ANH 305,33
UIL30017,1,30,ANH 305,22
UIL30051,1,60,ANH 305,45
UIL40075,1,40,ANH 305,21
ECE30081,1,40,ANH 305,48
HMM40043,1,60,ANH 305,40
CUE20002,1,60,ANH 305,40
GEA20002,1,50,ANH 313,30
GEA20008,1,60,ANH 313,29
GEA20018,1,40,ANH 313,11
GEA20051,1,40,ANH 313,24
GEA20055,1,40,ANH 313,14
GEA30011,1,60,ANH 313,12
GEA30012,1,60,ANH 313,15
GEA30020,1,25,ANH 313,27
CSW20001,1,40,ANH 313,50
BFT30061,1,30,ANH 313,15
ECE20051,3,60,ANH 313,53
ECE30030,1,40,ANH 313,48
CUE20013,1,40,ANH 313,30
GEK10011,1,400,ANH Auditorium,400
GEK10015,1,385,ANH Auditorium,403
GEK10041,1,150,ANH Auditorium,187
GCS10053,1,20,GLC 101,20
GCS10053,2,20,GLC 101,20
GCS10053,9,20,GLC 101,20
GCS20001,16,20,GLC 101,19
GCS20001,17,20,GLC 101,18
GCS20002,7,20,GLC 101,20
GCS20002,8,20,GLC 101,20
GCS30009,1,20,GLC 101,20
GCS10050,4,20,GLC 106,18
GCS10050,6,20,GLC 106,18
GCS10062,7,20,GLC 106,5
GCS10062,8,20,GLC 106,15
GCS10062,9,20,GLC 106,14
GCS10062,10,20,GLC 106,18
GCS10062,11,20,GLC 106,16
GCS10053,5,20,GLC 202,18
GCS20002,1,20,GLC 202,20
GCS20002,2,20,GLC 202,20
GCS20002,3,0,GLC 202,19
GCS20002,4,0,GLC 202,20
GCS20002,9,0,GLC 202,20
GCS20002,13,20,GLC 202,19
GCS20002,14,20,GLC 202,17
GCS10008,1,5,GLC 204,5
GCS10050,1,20,GLC 301,6
GCS10050,2,20,GLC 301,19
GCS20001,7,20,GLC 301,20
GCS20001,8,20,GLC 301,20
GCS20001,10,20,GLC 301,16
GCS20001,11,20,GLC 301,20
GCS20001,12,20,GLC 301,20
GCS20001,13,20,GLC 301,20
GCS10052,6,20,GLC 302,20
GCS10052,7,20,GLC 302,20
GCS10052,8,20,GLC 302,20
GCS10053,10,20,GLC 302,19
GCS10062,1,20,GLC 302,20
GCS10062,2,20,GLC 302,20
GCS10062,3,20,GLC 302,19
GCS20002,15,20,GLC 302,19
GCS20002,16,20,GLC 302,18
GCS40001,1,4,GLC 302,4
GCS10052,4,20,GLC 303,20
GCS10052,5,20,GLC 303,20
GCS10052,12,20,GLC 303,20
GCS10053,3,20,GLC 303,19
GCS10053,4,20,GLC 303,19
GCS10062,4,20,GLC 303,20
GCS10062,5,20,GLC 303,20
GCS10062,6,20,GLC 303,20
GCS20002,5,20,GLC 303,16
GCS20002,6,20,GLC 303,18
GCS10052,1,20,GLC 304,21
GCS10052,2,20,GLC 304,21
GCS10052,3,20,GLC 304,20
GCS10052,9,20,GLC 304,20
GCS10052,10,20,GLC 304,20
GCS10052,11,20,GLC 304,20
GCS20001,1,20,GLC 304,9
GCS20001,2,20,GLC 304,17
GCS20001,14,20,GLC 304,20
GCS20001,15,20,GLC 304,20
GCS10053,6,20,GLC 305,20
GCS10053,7,20,GLC 305,20
GCS10053,8,20,GLC 305,20
GCS20001,4,20,GLC 305,15
GCS20001,5,19,GLC 305,19
GCS20001,6,20,GLC 305,20
GCS20002,10,20,GLC 305,13
GCS20002,11,19,GLC 305,19
GCS20002,12,0,GLC 305,19
GEK10061,1,45,HCA 2F,45
GEK10061,2,45,HCA 2F,46
GEK10098,1,45,HCA 2F,46
GEK10098,2,40,HCA 2F,59
GCS10011,1,30,HDH 303A,34
GCS10012,1,30,HDH 303A,38
GCS10037,10,25,HDH 303A,25
GCS10037,11,25,HDH 303A,25
GCS10054,1,20,HDH 303A,12
GCS10055,1,20,HDH 303A,18
GCS10056,1,20,HDH 303A,8
GCS10057,1,20,HDH 303A,14
GEK10015,2,0,HDH 303A,37
CSW40015,1,60,HDH 303A,13
GCS10016,1,30,HDH 303B,24
GCS10016,2,30,HDH 303B,24
GCS10033,1,25,HDH 303B,25
GCS10037,1,25,HDH 303B,27
GCS10037,2,25,HDH 303B,25
GCS10037,3,25,HDH 303B,26
GCS10037,4,25,HDH 303B,23
GCS10039,1,25,HDH 303B,22
GEK20019,1,30,HDH 303B,27
CSW20005,1,40,HDH 303B,50
GEK10095,2,80,HDH 318,77
ISE10002,1,60,HDH 318,62
ISE10051,1,80,HDH 318,80
ISE10051,2,80,HDH 318,73
ISE10052,1,80,HDH 318,77
ISE20075,1,60,HDH 318,73
ISE20084,1,40,HDH 318,41
ISE20085,1,80,HDH 318,50
CSW20021,1,69,HDH 318,69
CSW30056,1,60,HDH 318,46
CSW40054,4,0,HDH 318,5
GCS10058,1,40,HDH 320A,49
CCE24001,1,30,HDH 320A,16
CCE42001,1,20,HDH 320A,3
ISE20006,1,40,HDH 320A,28
ISE30081,1,40,HDH 320A,26
ISE40013,1,20,HDH 320A,11
CCC20086,1,30,HDH 320A,34
CSW20001,2,40,HDH 320B,40
CSW20020,1,40,HDH 320B,29
CSW20064,1,40,HDH 320B,39
CSW30006,1,40,HDH 320B,40
CSW30008,1,40,HDH 320B,38
CSW30021,1,40,HDH 320B,19
CSW30035,1,40,HDH 320B,15
CSW40010,2,40,HDH 320B,16
CSW40052,1,40,HDH 320B,20
CSW40054,2,0,HDH 320B,
CCE22001,1,35,HDH 323C,33
ISE20042,1,40,HDH 323C,14
ISE20043,1,40,HDH 323C,37
ISE20074,1,40,HDH 323C,43
ISE30052,1,40,HDH 323C,15
ISE30080,1,40,HDH 323C,16
ISE30095,1,40,HDH 323C,10
ISE30097,1,40,HDH 323C,30
ISE40082,1,40,HDH 323C,14
CSW30063,1,40,HDH 323C,35
SIE40061,1,2,HDH 323C,1
ISE20072,1,40,HDH 324,36
ISE30015,1,40,HDH 324,40
ISE30032,1,25,HDH 324,22
ISE30096,1,25,HDH 324,25
ISE40075,1,40,HDH 324,31
ISE20040,1,30,HDH 326A,30
ISE20086,1,40,HDH 326A,31
ISE30071,1,40,HDH 326A,25
ISE40073,1,40,HDH 326A,13
ISE40073,2,40,HDH 326A,41
ISE40085,4,0,HDH 326A,13
CSW30081,1,40,HDH 326A,17
GCS20008,1,29,HDH 402,29
GCS20008,2,29,HDH 402,29
IID20055,1,25,HDH 402,25
IID20055,2,25,HDH 402,26
IID20055,3,25,HDH 402,28
IID30067,1,25,HDH 402,25
GCS10001,3,45,HDH 403,48
GCS10002,1,45,HDH 403,46
GCS10002,3,45,HDH 403,51
GCS10002,4,45,HDH 403,48
GCS10002,5,45,HDH 403,50
GCS10002,6,45,HDH 403,49
GCS10002,7,45,HDH 403,49
GCS10007,1,45,HDH 403,47
GCS10007,2,45,HDH 403,47
GCS20005,1,45,HDH 403,48
GCS20005,2,45,HDH 403,47
GCS20005,3,45,HDH 403,45
CSW20085,1,40,HDH 403,39
GEK10021,4,18,HDH 418B,14
GEK10055,1,60,HDH 418B,57
GEK10055,2,60,HDH 418B,73
GEK10087,1,60,HDH 418B,38
GEK10090,1,60,HDH 418B,63
GEK10095,1,80,HDH 418B,77
GEK10095,3,80,HDH 418B,60
GEK10095,4,60,HDH 418B,43
GEK10096,1,80,HDH 418B,79
GEK10096,2,80,HDH 418B,78
GEK10096,4,80,HDH 418B,53
GEK10038,1,25,HDH 419,15
GEK10038,2,25,HDH 419,23
GEK10038,3,25,HDH 419,28
GCS10001,1,45,HDH 424,51
GCS10001,2,45,HDH 424,50
GCS10001,4,45,HDH 424,51
GCS10001,5,45,HDH 424,52
GCS10001,6,45,HDH 424,51
GCS10001,7,45,HDH 424,47
GCS10002,2,45,HDH 424,49
GCS20009,1,30,HDH 424,43
GCS10010,1,30,HDH 425B,51
GEK10053,2,60,HDH 425B,63
GEK10090,2,60,HDH 425B,64
GEK10093,1,40,HDH 425B,37
GEK20033,1,60,HDH 425B,50
GEK20053,1,50,HDH 425B,51
GEK20053,2,50,HDH 425B,50
MEC20057,1,30,NMH 102B,30
MEC20057,2,30,NMH 102B,27
MEC20057,3,30,NMH 102B,19
MEC10002,1,40,NMH 103A,40
MEC20001,1,50,NMH 103A,48
MEC20001,2,50,NMH 103A,13
MEC20002,2,40,NMH 103A,43
MEC20051,1,40,NMH 103A,43
MEC20051,2,40,NMH 103A,17
MEC20058,2,40,NMH 103A,28
MEC30010,1,40,NMH 103A,46
MEC30012,1,40,NMH 103A,28
MEC30074,1,40,NMH 103A,40
MEC30074,2,40,NMH 103A,38
GCS10019,2,25,NMH 104A,23
GCS10023,1,25,NMH 104A,12
GCS10037,5,25,NMH 104A,27
GCS10037,6,25,NMH 104A,29
GCS10037,7,25,NMH 104A,27
GCS10039,2,25,NMH 104A,25
CCC20050,1,0,NMH 104A,21
MEC30075,1,40,NMH 104A,40
GEK10062,1,70,NMH 105,70
GEK10062,2,70,NMH 105,69
GEK10099,1,60,NMH 105,28
CCE20002,1,50,NMH 105,27
CCE20007,1,50,NMH 105,13
CCE30001,1,30,NMH 105,9
CCE30006,1,50,NMH 105,10
MEC10002,2,80,NMH 105,75
MEC30002,1,60,NMH 105,51
CSW20005,2,80,NMH 105,86
HMM20041,1,60,NMH 105,79
MEC10001,2,80,NMH 106,28
MEC10002,3,100,NMH 106,50
MEC10002,4,40,NMH 106,19
MEC20054,2,40,NMH 106,46
MEC20055,4,40,NMH 106,23
MEC20058,1,60,NMH 106,78
MEC20059,2,40,NMH 106,22
MEC20059,3,40,NMH 106,37
MEC30003,1,40,NMH 106,50
MEC30005,1,50,NMH 106,46
MEC40055,1,40,NMH 106,26
GEA20057,1,40,NMH 107,23
MEC10001,3,80,NMH 107,66
MEC20005,1,40,NMH 107,68
