과목코드,분반,수강정원,강의실명,수강인원,수업시간
LAW10004,1,70,ANH 302,74,"월1,목1"
LAW20003,1,80,ANH 302,87,"화4,금4"
LAW20008,1,80,ANH 302,83,"화3,금3"
LAW30074,1,40,ANH 302,25,"월3,목3"
LAW40004,1,60,ANH 302,23,"수3,수4"
UIL30011,1,60,ANH 302,70,"월6,목6"
UIL40015,1,40,ANH 302,8,"금5,금6"
UIL40064,1,40,ANH 302,17,"화5,화6"
HMM20017,1,50,ANH 302,100,"월5,목5"
HMM20031,1,60,ANH 302,63,"월2,목2"
HMM30012,2,60,ANH 302,45,"월7,목7"
HMM30032,1,60,ANH 302,45,"화2,금2"
GEA40004,1,30,ANH 304,8,"화6,화7"
LAW30009,1,40,ANH 304,9,"금4,금5"
LAW30014,1,40,ANH 304,17,"화2,금2"
LAW30077,1,40,ANH 304,27,"월6,월7"
LAW40025,1,40,ANH 304,15,"수2,수3"
LAW50005,1,20,ANH 304,13,"월4,월5"
UIL20013,1,15,ANH 304,13,"월3,목3"
UIL30015,1,25,ANH 304,23,"화3,금3"
UIL30016,1,40,ANH 304,20,"월2,목2"
UIL30018,1,30,ANH 304,13,"월8,목8"
UIL40016,1,40,ANH 304,11,"금6,금7"
LAW30034,1,40,ANH 305,38,"월2,목2"
LAW30071,1,40,ANH 305,25,"화5,금5"
LAW30072,1,40,ANH 305,34,"화3,금3"
LAW50004,1,10,ANH 305,5,"수2,수3"
UIL30014,1,50,ANH 305,33,"화2,금2"
UIL30017,1,30,ANH 305,22,"월3,목3"
UIL30051,1,60,ANH 305,45,"화1,금1"
UIL40075,1,40,ANH 305,21,"월5,목5"
ECE30081,1,40,ANH 305,48,"월6,목6"
HMM40043,1,60,ANH 305,40,"월1,목1"
CUE20002,1,60,ANH 305,40,"월4,목4"
GEA20002,1,50,ANH 313,30,"목5,목6"
GEA20008,1,60,ANH 313,29,월1
GEA20018,1,40,ANH 313,11,"금6,금7"
GEA20051,1,40,ANH 313,24,"화1,금1"
GEA20055,1,40,ANH 313,14,"월3,목3"
GEA30011,1,60,ANH 313,12,월1
GEA30012,1,60,ANH 313,15,월1
GEA30020,1,25,ANH 313,27,"월5,월6"
CSW20001,1,40,ANH 313,50,"월4,목4"
BFT30061,1,30,ANH 313,15,"화6,화7"
ECE20051,3,60,ANH 313,53,"화2,금2"
ECE30030,1,40,ANH 313,48,"화5,금5"
CUE20013,1,40,ANH 313,30,"화3,금3"
GEK10011,1,400,ANH Auditorium,400,"수3,수4"
GEK10015,1,385,ANH Auditorium,403,수2
GEK10041,1,150,ANH Auditorium,187,"월3,목3"
GCS10053,1,20,GLC 101,20,"화2,금2"
GCS10053,2,20,GLC 101,20,"화4,금4"
GCS10053,9,20,GLC 101,20,"화5,금5"
GCS20001,16,20,GLC 101,19,"월2,목2"
GCS20001,17,20,GLC 101,18,"월3,목3"
GCS20002,7,20,GLC 101,20,"월4,목4"
GCS20002,8,20,GLC 101,20,"월6,목6"
GCS30009,1,20,GLC 101,20,"화6,금6"
GCS10050,4,20,GLC 106,18,"월2,목2"
GCS10050,6,20,GLC 106,18,"월5,목5"
GCS10062,7,20,GLC 106,5,"화2,금2"
GCS10062,8,20,GLC 106,15,"화4,금4"
GCS10062,9,20,GLC 106,14,"화3,금3"
GCS10062,10,20,GLC 106,18,"화5,금5"
GCS10062,11,20,GLC 106,16,"화6,금6"
GCS10053,5,20,GLC 202,18,"화5,금5"
GCS20002,1,20,GLC 202,20,"월4,목4"
GCS20002,2,20,GLC 202,20,"월5,목5"
GCS20002,3,0,GLC 202,19,"월1,목1"
GCS20002,4,0,GLC 202,20,"월2,목2"
GCS20002,9,0,GLC 202,20,"화1,금1"
GCS20002,13,20,GLC 202,19,"화3,금3"
GCS20002,14,20,GLC 202,17,"화4,금4"
GCS10008,1,5,GLC 204,5,"월2,목2"
