GLC 304,"[5, 41]",05mDQfD1,PCO10012.9
HDH 419,"[51, 52]",05mDQfD1,GEK10038.4
HDH 425B,"[2, 38]",05mDQfD1,GEK10095.2
NMH 207,"[14, 50]",05mDQfD1,GEK10055.2
OH 403,"[16, 17]",05mDQfD1,GEK10045.9
SU 104,"[3, 39]",05mDQfD1,GEK10096.3
GLC 304,"[5, 41]",0AUCUxw2,PCO10012.9
HDH 320A,"[17, 53]",0AUCUxw2,ISE10022.1
HDH 418B,"[18, 54]",0AUCUxw2,GEK10035.2
HDH 425B,"[15, 51]",0AUCUxw2,GEK10045.8
HDH 425B,"[3, 4]",0AUCUxw2,GEK20011.2
NMH 404,"[6, 42]",0AUCUxw2,PCO10058.14
HDH 403,"[15, 51]",0crFvetU,PCO10058.13
NMH 206B,"[38, 39]",0crFvetU,IID10004.1
NMH 410A,"[16, 17]",0crFvetU,GEK10045.11
NTH 313,"[5, 41]",0crFvetU,GEK10059.4
OH 305,"[14, 50]",0crFvetU,ISE10002.1
OH 401,"[2, 3]",0crFvetU,GEK10040.1
OH 403,"[6, 42]",0crFvetU,GEK10022.2
GLC 106,"[15, 51]",0eKM49i6,PCO10012.11
HDH 403,"[13, 49]",0eKM49i6,PCO10058.11
HDH 418B,"[17, 53]",0eKM49i6,GEK10035.1
HDH 418B,"[3, 39]",0eKM49i6,PCO10024.2
NMH 106,"[2, 38]",0eKM49i6,MEC10002.3
OH 421,"[14, 50]",0eKM49i6,GEK10045.3
HDH 303B,"[17, 53]",0EsQt1Ys,ISL10075.5
HDH 323C,"[14, 50]",0EsQt1Ys,GEK10055.1
HDH 403,"[5, 41]",0EsQt1Ys,PCO10058.17
HDH 425B,"[2, 38]",0EsQt1Ys,GEK10095.2
NTH 417,"[3, 39]",0EsQt1Ys,PCO10012.4
OH 401,"[15, 51]",0EsQt1Ys,GEK10045.6
ANH 313,"[6, 42]",0f6DQrXe,PCO10058.18
GLC 106,"[16, 52]",0f6DQrXe,PCO10012.12
HDH 303B,"[3, 39]",0f6DQrXe,ISL10075.11
HDH 418B,"[18, 54]",0f6DQrXe,GEK10035.2
HDH 425B,"[15, 51]",0f6DQrXe,GEK10045.8
NMH 105,"[2, 38]",0f6DQrXe,ISE10051.1
ANH 305,"[2, 38]",0gSoEXal,UIL30051.1
ANH 313,"[6, 42]",0gSoEXal,PCO10058.18
NMH 404,"[5, 41]",0gSoEXal,GEK10045.14
NTH 313,"[3, 39]",0gSoEXal,GEK10059.3
OH 305,"[18, 19]",0gSoEXal,GEK10037.2
OH 405,"[15, 51]",0gSoEXal,GEK10030.1
GLC 302,"[3, 39]",0h6JY6AE,PCO10013.2
HDH 403,"[14, 50]",0h6JY6AE,PCO10058.12
HDH 425B,"[15, 51]",0h6JY6AE,GEK10045.8
NMH 105,"[2, 38]",0h6JY6AE,ISE10051.1
NMH 108,"[5, 41]",0h6JY6AE,ISL10075.9
NMH 109,"[6, 42]",0h6JY6AE,ISL10091.2
ANH 302,"[6, 42]",0hBQpgEd,LAW10004.1
HDH 303B,"[14, 50]",0hBQpgEd,ISL20077.4
NMH 105,"[1, 37]",0hBQpgEd,GEK10057.2
OH 302,"[3, 39]",0hBQpgEd,PCO10058.5
OH 401,"[15, 51]",0hBQpgEd,GEK10045.6
OH 402,"[17, 53]",0hBQpgEd,GEK20031.2
NMH 204,"[53, 54]",0IL7XMT3,IID10005.2
NTH 313,"[6, 42]",0IL7XMT3,ISE10052.1
OH 302,"[13, 49]",0IL7XMT3,PCO10058.7
OH 401,"[15, 51]",0IL7XMT3,GEK10045.6
OH 403,"[14, 50]",0IL7XMT3,GEK10041.1
OH 403,"[3, 4, 39, 40]",0IL7XMT3,GEK10000.2
ANH 313,"[2, 38]",0izE7vp9,GEK10096.2
HDH 303A,"[17, 53]",0izE7vp9,PCO10024.3
HDH 419,"[40, 41]",0izE7vp9,GEK10038.3
NTH 214,"[15, 51]",0izE7vp9,GEK10055.3
NTH 414,"[1, 37]",0izE7vp9,PCO10012.1
OH 421,"[14, 50]",0izE7vp9,GEK10045.3
HDH 424,"[13, 49]",0kpIvwfL,PCO10058.1
NMH 106,"[15, 51]",0kpIvwfL,MEC10001.1
NTH 414,"[1, 37]",0kpIvwfL,PCO10012.1
OH 402,"[39, 40]",0kpIvwfL,GEK20011.1
OH 402,"[4, 5]",0kpIvwfL,GEK20042.2
OH 405,"[14, 50]",0kpIvwfL,GEK10045.5
HDH 403,"[15, 51]",0m5WN4Jf,PCO10058.13
HDH 418B,"[18, 54]",0m5WN4Jf,GEK10035.2
NMH 403,"[14, 50]",0m5WN4Jf,GEK10045.1
NMH 404,"[17, 53]",0m5WN4Jf,GEK10058.1
NTH 212,"[5, 41]",0m5WN4Jf,PCO10012.14
OH 405,"[6, 42]",0m5WN4Jf,MEC10001.2
HDH 403,"[14, 50]",0OP355Ei,PCO10058.12
HDH 419,"[40, 41]",0OP355Ei,GEK10038.3
HDH 424,"[2, 38]",0OP355Ei,ISL10075.6
NMH 410A,"[17, 18]",0OP355Ei,GEK10045.12
NMH 410A,"[6, 42]",0OP355Ei,GEK10055.4
NTH 313,"[15, 51]",0OP355Ei,GEK20031.1
SU 104,"[3, 39]",0OP355Ei,GEK10096.3
HCA 3F,"[6, 42]",0PLxwd2X,PCO10058.10
NMH 103A,"[8, 44]",0PLxwd2X,PCO20004.9
NMH 108,"[18, 54]",0PLxwd2X,ISL10075.10
NMH 404,"[2, 38]",0PLxwd2X,GEK10057.3
NMH 410A,"[16, 17]",0PLxwd2X,GEK10045.11
OH 403,"[15, 51]",0PLxwd2X,GEK10059.2
ANH Auditorium,"[5, 41]",0qZlTwhh,ISE10052.2
HDH 418B,"[2, 38]",0qZlTwhh,PCO10024.1
HDH 424,"[13, 49]",0qZlTwhh,PCO10058.1
HDH 425B,"[14, 50]",0qZlTwhh,GEK10040.2
OH 401,"[15, 51]",0qZlTwhh,GEK10045.6
OH 405,"[3, 39]",0qZlTwhh,GEK10042.1
ANH 313,"[6, 42]",0UfHkagN,PCO10058.18
HDH 425B,"[3, 4]",0UfHkagN,GEK20011.2
NMH 108,"[5, 41]",0UfHkagN,ISL10075.9
NMH 204,"[38, 39]",0UfHkagN,IID10005.1
NMH 410A,"[17, 18]",0UfHkagN,GEK10045.12
NTH 313,"[14, 50]",0UfHkagN,GEK10066.1
OH 403,"[15, 51]",0UfHkagN,GEK10059.2
ANH 313,"[6, 42]",0uMgi08t,PCO10058.18
GLC 106,"[13, 49]",0uMgi08t,PCO10012.10
HDH 418B,"[18, 54]",0uMgi08t,GEK10035.2
OH 402,"[39, 40]",0uMgi08t,GEK20011.1
OH 403,"[15, 51]",0uMgi08t,GEK10059.2
OH 421,"[14, 50]",0uMgi08t,GEK10045.3
GLC 304,"[4, 40]",0vgFfTuI,PCO10012.8
HDH 303B,"[15, 51]",0vgFfTuI,ISL10075.3
HDH 402,"[2, 38]",0vgFfTuI,PCO10058.8
NMH 102B,[42],0vgFfTuI,GEK20021.2
NMH 104A,"[18, 54]",0vgFfTuI,ISL10085.1
