random.ID,subjectCode,num
7cbcrd0E,GEE10001,1
7cbcrd0E,GEK10008,1
7cbcrd0E,GEK10011,3
7cbcrd0E,GEK10015,1
7cbcrd0E,GEK10030,1
7cbcrd0E,GEK10045,14
7cbcrd0E,GEK10095,2
7cbcrd0E,ISL20077,4
7cbcrd0E,MEC10002,4
7cbcrd0E,PCO10058,11
fVhXHvIp,GEK10001,1
fVhXHvIp,GEK10008,1
fVhXHvIp,GEK10011,2
fVhXHvIp,GEK10015,1
fVhXHvIp,GEK10045,12
fVhXHvIp,ISE10052,1
fVhXHvIp,ISL10011,2
fVhXHvIp,ISL20077,2
fVhXHvIp,PCO10058,8
fVhXHvIp,PCO20004,4
HGBEJI92,GEK10001,1
HGBEJI92,GEK10008,1
HGBEJI92,GEK10035,2
HGBEJI92,GEK10045,3
HGBEJI92,GEK10062,1
HGBEJI92,ISL10075,5
HGBEJI92,MEC10002,1
HGBEJI92,PCO10013,14
HGBEJI92,PCO10058,6
DoWup2SG,GEK10001,1
DoWup2SG,GEK10008,1
DoWup2SG,GEK10015,1
DoWup2SG,GEK10038,4
DoWup2SG,GEK10045,5
DoWup2SG,GEK10055,4
DoWup2SG,GEK10096,2
DoWup2SG,ISL10075,8
DoWup2SG,PCO10012,17
DoWup2SG,PCO10058,9
IVBlCGzo,GEK10001,1
IVBlCGzo,GEK10008,1
IVBlCGzo,GEK10011,1
IVBlCGzo,GEK10015,1
IVBlCGzo,GEK10041,2
IVBlCGzo,GEK10045,12
IVBlCGzo,GEK30022,1
IVBlCGzo,ISL20077,2
IVBlCGzo,PCO10012,2
IVBlCGzo,PCO10058,10
YeJcKVfU,GEK10001,1
YeJcKVfU,GEK10008,1
YeJcKVfU,GEK10011,2
YeJcKVfU,GEK10041,1
YeJcKVfU,GEK10045,12
YeJcKVfU,GEK10057,2
YeJcKVfU,LAW10004,1
YeJcKVfU,PCO10012,16
YeJcKVfU,PCO10058,9
Fl4JiV9V,GEK10001,1
Fl4JiV9V,GEK10008,1
Fl4JiV9V,GEK10015,1
Fl4JiV9V,GEK10045,5
Fl4JiV9V,GEK10055,4
Fl4JiV9V,GEK10096,1
Fl4JiV9V,ISL10091,1
Fl4JiV9V,PCO10012,4
Fl4JiV9V,PCO10058,3
UkAqr2J0,GEK10001,1
UkAqr2J0,GEK10008,1
UkAqr2J0,GEK10011,1
UkAqr2J0,GEK10021,2
UkAqr2J0,GEK10035,2
UkAqr2J0,GEK20031,1
UkAqr2J0,ISL10075,4
UkAqr2J0,PCO10012,3
UkAqr2J0,PCO10058,7
EhJV3Z7t,GEK10001,1
EhJV3Z7t,GEK10008,1
EhJV3Z7t,GEK10015,2
