GLC 304,"[5, 41]",05mDQfD1
HDH 419,"[51, 52]",05mDQfD1
HDH 425B,"[2, 38]",05mDQfD1
NMH 207,"[14, 50]",05mDQfD1
OH 403,"[16, 17]",05mDQfD1
SU 104,"[3, 39]",05mDQfD1
GLC 304,"[5, 41]",0AUCUxw2
HDH 320A,"[17, 53]",0AUCUxw2
HDH 418B,"[18, 54]",0AUCUxw2
HDH 425B,"[15, 51]",0AUCUxw2
HDH 425B,"[3, 4]",0AUCUxw2
NMH 404,"[6, 42]",0AUCUxw2
HDH 403,"[15, 51]",0crFvetU
NMH 206B,"[38, 39]",0crFvetU
NMH 410A,"[16, 17]",0crFvetU
NTH 313,"[5, 41]",0crFvetU
OH 305,"[14, 50]",0crFvetU
OH 401,"[2, 3]",0crFvetU
OH 403,"[6, 42]",0crFvetU
GLC 106,"[15, 51]",0eKM49i6
HDH 403,"[13, 49]",0eKM49i6
HDH 418B,"[17, 53]",0eKM49i6
HDH 418B,"[3, 39]",0eKM49i6
NMH 106,"[2, 38]",0eKM49i6
OH 421,"[14, 50]",0eKM49i6
HDH 303B,"[17, 53]",0EsQt1Ys
HDH 323C,"[14, 50]",0EsQt1Ys
HDH 403,"[5, 41]",0EsQt1Ys
HDH 425B,"[2, 38]",0EsQt1Ys
NTH 417,"[3, 39]",0EsQt1Ys
OH 401,"[15, 51]",0EsQt1Ys
ANH 313,"[6, 42]",0f6DQrXe
GLC 106,"[16, 52]",0f6DQrXe
HDH 303B,"[3, 39]",0f6DQrXe
HDH 418B,"[18, 54]",0f6DQrXe
HDH 425B,"[15, 51]",0f6DQrXe
NMH 105,"[2, 38]",0f6DQrXe
ANH 305,"[2, 38]",0gSoEXal
ANH 313,"[6, 42]",0gSoEXal
NMH 404,"[5, 41]",0gSoEXal
NTH 313,"[3, 39]",0gSoEXal
OH 305,"[18, 19]",0gSoEXal
OH 405,"[15, 51]",0gSoEXal
GLC 302,"[3, 39]",0h6JY6AE
HDH 403,"[14, 50]",0h6JY6AE
HDH 425B,"[15, 51]",0h6JY6AE
NMH 105,"[2, 38]",0h6JY6AE
NMH 108,"[5, 41]",0h6JY6AE
NMH 109,"[6, 42]",0h6JY6AE
ANH 302,"[6, 42]",0hBQpgEd
HDH 303B,"[14, 50]",0hBQpgEd
NMH 105,"[1, 37]",0hBQpgEd
OH 302,"[3, 39]",0hBQpgEd
OH 401,"[15, 51]",0hBQpgEd
OH 402,"[17, 53]",0hBQpgEd
NMH 204,"[53, 54]",0IL7XMT3
NTH 313,"[6, 42]",0IL7XMT3
OH 302,"[13, 49]",0IL7XMT3
OH 401,"[15, 51]",0IL7XMT3
OH 403,"[14, 50]",0IL7XMT3
OH 403,"[3, 4, 39, 40]",0IL7XMT3
ANH 313,"[2, 38]",0izE7vp9
HDH 303A,"[17, 53]",0izE7vp9
HDH 419,"[40, 41]",0izE7vp9
NTH 214,"[15, 51]",0izE7vp9
NTH 414,"[1, 37]",0izE7vp9
OH 421,"[14, 50]",0izE7vp9
